pair_name,pair_tags,win_rate,games
Anivia Tahm Kench,MageSupport,0.5555555555555556,36.0
Anivia Taliyah,MageMage,0.4444444444444444,27.0
Anivia Talon,AssassinMage,0.14285714285714285,7.0
Anivia Taric,MageSupport,0.5882352941176471,34.0
Anivia Thresh,MageSupport,0.5060240963855421,166.0
Anivia Trundle,FighterMage,0.38461538461538464,13.0
Anivia Udyr,FighterMage,0.0,2.0
Anivia Varus,MageMarksman,0.5060240963855421,83.0
Anivia Vayne,MageMarksman,0.627906976744186,43.0
Anivia Veigar,MageMage,0.3333333333333333,6.0
Anivia Vel'Koz,MageMage,0.5,10.0
Anivia Vi,FighterMage,0.5,4.0
Anivia Viktor,MageMage,0.5,2.0
Anivia Volibear,FighterMage,0.5,24.0
Anivia Wukong,FighterMage,0.6176470588235294,34.0
Anivia Xayah,MageMarksman,0.56,50.0
Anivia Xerath,MageMage,0.5,2.0
Anivia Yasuo,FighterMage,0.3793103448275862,29.0
Anivia Yorick,FighterMage,0.4,5.0
Anivia Yuumi,MageSupport,0.30357142857142855,56.0
Anivia Zac,MageTank,0.5416666666666666,48.0
Anivia Zed,AssassinMage,0.5714285714285714,7.0
Anivia Ziggs,MageMage,0.6666666666666666,6.0
Anivia Zoe,MageMage,0.6666666666666666,12.0
Anivia Zyra,MageMage,0.5,6.0
Annie Aatrox,FighterMage,0.39285714285714285,28.0
Annie Ahri,MageMage,0.5,2.0
Annie Akali,AssassinMage,0.6153846153846154,13.0
Annie Alistar,MageTank,0.5,10.0
Annie Amumu,MageTank,0.0,2.0
Annie Aphelios,MageMarksman,0.4444444444444444,45.0
Annie Ashe,MageMarksman,0.6923076923076923,13.0
Annie Aurelion Sol,MageMage,1.0,1.0
Annie Azir,MageMage,1.0,2.0
Annie Bard,MageSupport,0.5142857142857142,35.0
Annie Blitzcrank,MageTank,0.35714285714285715,28.0
